corruption,ours,e2lora_matched,merge_avg,merge_ties,tuna,merge_max_abs,lca,mos,slca,ease
brightness,90.48,89.07,88.74,88.09,90.05,87.04,86.67,87.45,87.31,83.63
contrast,87.01,83.22,85.09,84.44,87.47,82.45,82.47,84.23,79.33,80.79
defocus_blur,87.55,86.32,86.34,85.71,86.27,84.89,83.35,82.29,83.39,78.48
elastic_transform,78.99,77.76,77.95,77.46,78.62,76.82,74.26,73.38,76.46,69.98
fog,83.45,81.04,81.99,81.46,83.98,80.04,79.56,80.20,79.20,77.15
frost,82.25,79.92,80.26,79.68,79.50,77.78,77.36,77.80,75.64,72.00
gaussian_blur,85.89,84.73,84.90,84.30,84.06,83.59,81.52,79.70,81.47,75.82
gaussian_noise,65.11,62.40,63.43,63.11,57.91,60.21,59.91,58.35,60.26,55.25
glass_blur,56.08,51.58,54.54,54.17,44.28,51.11,53.10,43.96,43.33,39.47
impulse_noise,78.58,75.37,77.04,76.76,75.11,73.84,73.48,73.55,68.94,69.09
jpeg_compression,73.76,71.50,72.10,71.61,73.77,68.59,70.13,69.60,68.90,66.80
motion_blur,82.49,80.51,81.50,80.91,80.16,80.26,78.24,74.55,77.25,72.30
pixelate,77.71,74.26,76.04,75.51,73.87,74.11,71.77,72.47,72.79,67.15
saturate,86.64,84.81,84.88,84.20,85.69,82.98,82.23,83.01,82.33,79.12
shot_noise,70.87,67.84,69.00,68.61,65.10,65.94,65.96,64.57,65.58,60.72
snow,83.73,81.47,82.03,81.46,81.90,79.90,79.11,78.41,78.07,73.83
spatter,87.75,85.68,86.00,85.40,85.67,83.89,83.44,83.03,82.38,78.12
speckle_noise,71.68,68.15,69.94,69.50,66.48,66.98,66.84,65.64,66.41,61.55
zoom_blur,85.21,83.75,84.16,83.63,83.20,83.01,80.53,78.75,80.84,75.26
