perturbation,ours,e2lora_matched,merge_avg,merge_ties,tuna,merge_max_abs,lca,mos,slca,ease
brightness,0.667,0.854,0.702,0.762,0.884,0.858,0.891,1.061,0.848,1.256
gaussian_noise,5.638,5.957,5.826,6.026,6.567,6.468,6.558,7.899,7.107,9.322
motion_blur,6.663,7.378,6.822,6.929,8.360,6.927,7.720,10.218,8.863,10.761
rotate,2.845,3.066,2.948,3.059,4.139,3.311,3.522,5.782,3.912,6.071
scale,3.071,3.444,3.346,3.401,3.853,3.639,3.921,4.678,3.954,5.651
shot_noise,6.881,7.502,7.293,7.431,8.737,8.124,8.144,9.991,8.968,11.487
snow,2.039,2.322,2.117,2.210,2.467,2.416,2.471,3.199,2.736,3.590
tilt,1.181,1.274,1.273,1.314,1.667,1.478,1.606,2.510,1.482,2.693
translate,2.975,3.742,3.501,3.584,3.659,4.319,4.002,4.896,4.245,5.658
zoom_blur,0.412,0.547,0.480,0.514,0.684,0.562,0.659,0.790,0.592,0.941
