variant,p,alpha,n_seeds,fa_mean,complete
combine,0.1,0.1,3,80.51,True
combine,0.1,0.3,3,82.22,True
combine,0.1,0.5,3,82.42,True
combine,0.1,0.7,3,82.37,True
combine,0.1,0.9,3,82.36,True
combine,0.1,1.0,3,82.07,True
combine,0.3,0.1,3,81.76,True
combine,0.3,0.3,3,83.32,True
combine,0.3,0.5,3,83.01,True
combine,0.3,0.7,3,82.58,True
combine,0.3,0.9,3,82.00,True
combine,0.3,1.0,3,81.45,True
combine,0.5,0.1,3,82.54,True
combine,0.5,0.3,3,83.36,True
combine,0.5,0.5,3,82.85,True
combine,0.5,0.7,3,82.31,True
combine,0.5,0.9,3,81.31,True
combine,0.5,1.0,3,80.63,True
combine,0.7,0.1,3,82.85,True
combine,0.7,0.3,3,83.37,True
combine,0.7,0.5,3,82.70,True
combine,0.7,0.7,3,81.43,True
combine,0.7,0.9,3,80.62,True
combine,0.7,1.0,3,80.08,True
combine,0.9,0.1,3,83.17,True
combine,0.9,0.3,3,83.59,True
combine,0.9,0.5,3,82.53,True
combine,0.9,0.7,3,81.27,True
combine,0.9,0.9,3,80.13,True
combine,0.9,1.0,3,79.23,True
combine,1.0,0.1,3,83.24,True
combine,1.0,0.3,3,83.36,True
combine,1.0,0.5,3,82.28,True
combine,1.0,0.7,3,80.80,True
combine,1.0,0.9,3,79.44,True
combine,1.0,1.0,3,78.74,True
only_A,0.1,0.1,3,82.87,True
only_A,0.1,0.3,3,83.79,True
only_A,0.1,0.5,3,83.09,True
only_A,0.1,0.7,3,81.93,True
only_A,0.1,0.9,3,81.15,True
only_A,0.1,1.0,3,80.20,True
only_A,0.3,0.1,3,82.92,True
only_A,0.3,0.3,3,83.56,True
only_A,0.3,0.5,3,82.57,True
only_A,0.3,0.7,3,81.43,True
only_A,0.3,0.9,3,80.32,True
only_A,0.3,1.0,3,79.79,True
only_A,0.5,0.1,3,83.07,True
only_A,0.5,0.3,3,83.49,True
only_A,0.5,0.5,3,82.38,True
only_A,0.5,0.7,3,81.25,True
only_A,0.5,0.9,3,79.90,True
only_A,0.5,1.0,3,79.10,True
only_A,0.7,0.1,3,83.14,True
only_A,0.7,0.3,3,83.58,True
only_A,0.7,0.5,3,82.35,True
only_A,0.7,0.7,3,81.01,True
only_A,0.7,0.9,3,79.47,True
only_A,0.7,1.0,3,79.04,True
only_A,0.9,0.1,3,83.20,True
only_A,0.9,0.3,3,83.48,True
only_A,0.9,0.5,3,82.37,True
only_A,0.9,0.7,3,81.20,True
only_A,0.9,0.9,3,79.46,True
only_A,0.9,1.0,3,78.88,True
only_A,1.0,0.1,3,83.11,True
only_A,1.0,0.3,3,83.53,True
only_A,1.0,0.5,3,82.44,True
only_A,1.0,0.7,3,80.90,True
only_A,1.0,0.9,3,79.75,True
only_A,1.0,1.0,3,78.83,True
only_B,0.1,0.1,3,80.68,True
only_B,0.1,0.3,3,82.46,True
only_B,0.1,0.5,3,82.83,True
only_B,0.1,0.7,3,82.54,True
only_B,0.1,0.9,3,81.88,True
only_B,0.1,1.0,3,81.75,True
only_B,0.3,0.1,3,81.92,True
only_B,0.3,0.3,3,83.27,True
only_B,0.3,0.5,3,82.61,True
only_B,0.3,0.7,3,82.02,True
only_B,0.3,0.9,3,81.08,True
only_B,0.3,1.0,3,80.59,True
only_B,0.5,0.1,3,82.42,True
only_B,0.5,0.3,3,83.43,True
only_B,0.5,0.5,3,82.64,True
only_B,0.5,0.7,3,81.58,True
only_B,0.5,0.9,3,80.73,True
only_B,0.5,1.0,3,79.86,True
only_B,0.7,0.1,3,82.83,True
only_B,0.7,0.3,3,83.43,True
only_B,0.7,0.5,3,82.42,True
only_B,0.7,0.7,3,81.28,True
only_B,0.7,0.9,3,79.98,True
only_B,0.7,1.0,3,78.93,True
only_B,0.9,0.1,3,83.05,True
only_B,0.9,0.3,3,83.37,True
only_B,0.9,0.5,3,82.48,True
only_B,0.9,0.7,3,81.08,True
only_B,0.9,0.9,3,79.60,True
only_B,0.9,1.0,3,78.98,True
only_B,1.0,0.1,3,83.12,True
only_B,1.0,0.3,3,83.49,True
only_B,1.0,0.5,3,82.33,True
only_B,1.0,0.7,3,80.75,True
only_B,1.0,0.9,3,79.43,True
only_B,1.0,1.0,3,78.68,True
separate,0.1,0.1,3,80.45,True
separate,0.1,0.3,3,82.36,True
separate,0.1,0.5,3,82.58,True
separate,0.1,0.7,3,82.66,True
separate,0.1,0.9,3,82.29,True
separate,0.1,1.0,3,81.95,True
separate,0.3,0.1,3,81.59,True
separate,0.3,0.3,3,83.38,True
separate,0.3,0.5,3,82.88,True
separate,0.3,0.7,3,82.32,True
separate,0.3,0.9,3,81.58,True
separate,0.3,1.0,3,80.91,True
separate,0.5,0.1,3,82.41,True
separate,0.5,0.3,3,83.33,True
