variant,p,alpha,n_seeds,fa,fa_sd,aa,aa_sd,ffm,ffm_sd,old_mean,new_acc,first5_mean
combine,0.10,0.10,3,80.51,0.56,85.05,0.74,6.27,0.22,80.27,82.65,79.78
combine,0.10,0.30,3,82.22,0.50,86.06,0.74,5.88,0.49,81.87,85.40,80.40
combine,0.10,0.50,3,82.42,0.24,86.36,0.69,6.42,0.50,81.93,86.82,79.62
combine,0.10,0.70,3,82.37,0.29,86.47,0.65,7.13,0.37,81.84,87.19,78.85
combine,0.10,0.90,3,82.36,0.63,86.45,0.70,7.48,0.55,81.74,88.01,78.55
combine,0.10,1.00,3,82.07,0.64,86.38,0.66,8.02,0.58,81.42,87.89,77.97
combine,0.30,0.10,3,81.76,0.48,85.64,0.75,5.62,0.46,81.48,84.34,80.71
combine,0.30,0.30,3,83.32,0.26,86.77,0.63,5.89,0.54,82.91,86.99,80.68
combine,0.30,0.50,3,83.01,0.28,86.89,0.59,6.98,0.52,82.48,87.78,79.35
combine,0.30,0.70,3,82.58,0.27,86.90,0.49,7.87,0.43,81.99,87.94,78.42
combine,0.30,0.90,3,82.00,0.45,86.74,0.56,9.04,0.47,81.27,88.60,77.08
combine,0.30,1.00,3,81.45,0.47,86.54,0.49,9.60,0.54,80.64,88.72,76.29
combine,0.50,0.10,3,82.54,0.36,86.04,0.69,5.25,0.39,82.32,84.54,81.18
combine,0.50,0.30,3,83.36,0.32,87.01,0.56,6.32,0.58,82.92,87.32,80.25
combine,0.50,0.50,3,82.85,0.29,87.10,0.56,7.67,0.37,82.27,88.06,78.63
combine,0.50,0.70,3,82.31,0.29,86.99,0.49,8.69,0.37,81.60,88.67,77.75
combine,0.50,0.90,3,81.31,0.33,86.56,0.46,10.08,0.45,80.43,89.25,75.72
combine,0.50,1.00,3,80.63,0.31,86.26,0.54,11.04,0.50,79.64,89.57,74.50
combine,0.70,0.10,3,82.85,0.37,86.26,0.66,5.18,0.46,82.61,85.00,81.33
combine,0.70,0.30,3,83.37,0.20,87.12,0.49,6.73,0.44,82.89,87.73,79.85
combine,0.70,0.50,3,82.69,0.23,87.18,0.49,8.12,0.48,82.07,88.31,78.19
combine,0.70,0.70,3,81.43,0.28,86.77,0.39,9.97,0.58,80.63,88.68,76.20
combine,0.70,0.90,3,80.62,0.42,86.49,0.44,11.15,0.59,79.69,89.00,74.87
combine,0.70,1.00,3,80.08,0.42,86.23,0.40,11.96,0.52,79.06,89.24,73.83
combine,0.90,0.10,3,83.17,0.27,86.49,0.62,5.04,0.39,82.92,85.44,81.67
combine,0.90,0.30,3,83.58,0.13,87.32,0.50,6.70,0.37,83.14,87.57,80.00
combine,0.90,0.50,3,82.53,0.27,87.16,0.45,8.48,0.44,81.86,88.56,78.08
combine,0.90,0.70,3,81.27,0.25,86.82,0.35,10.45,0.73,80.41,89.00,75.60
combine,0.90,0.90,3,80.13,0.42,86.32,0.48,12.02,0.59,79.08,89.61,73.82
combine,0.90,1.00,3,79.23,0.45,85.93,0.42,13.05,0.68,78.10,89.41,72.25
combine,1.00,0.10,3,83.24,0.35,86.55,0.60,5.08,0.43,83.01,85.32,81.54
combine,1.00,0.30,3,83.36,0.18,87.21,0.46,6.87,0.30,82.87,87.73,79.61
combine,1.00,0.50,3,82.28,0.27,87.05,0.47,8.81,0.35,81.59,88.51,77.41
combine,1.00,0.70,3,80.80,0.32,86.66,0.37,10.98,0.30,79.88,89.16,74.83
combine,1.00,0.90,3,79.44,0.37,85.92,0.49,12.73,0.20,78.32,89.53,72.66
