variant,p,alpha,n_seeds,fa_mean,complete
combine,0.1,0.1,3,81.65,True
combine,0.1,0.3,3,82.72,True
combine,0.1,0.5,3,82.87,True
combine,0.1,0.7,3,82.92,True
combine,0.1,0.9,3,82.59,True
combine,0.1,1.0,3,82.44,True
combine,0.3,0.1,3,82.22,True
combine,0.3,0.3,3,83.27,True
combine,0.3,0.5,3,83.12,True
combine,0.3,0.7,3,82.91,True
combine,0.3,0.9,3,82.46,True
combine,0.3,1.0,3,82.31,True
combine,0.5,0.1,3,82.63,True
combine,0.5,0.3,3,83.49,True
combine,0.5,0.5,3,83.22,True
combine,0.5,0.7,3,82.92,True
combine,0.5,0.9,3,82.23,True
combine,0.5,1.0,3,81.94,True
combine,0.7,0.1,3,82.97,True
combine,0.7,0.3,3,83.60,True
combine,0.7,0.5,3,83.25,True
combine,0.7,0.7,3,82.88,True
combine,0.7,0.9,3,81.83,True
combine,0.7,1.0,3,81.78,True
combine,0.9,0.1,3,83.17,True
combine,0.9,0.3,3,83.71,True
combine,0.9,0.5,3,83.17,True
combine,0.9,0.7,3,82.79,True
combine,0.9,0.9,3,81.81,True
combine,0.9,1.0,3,81.34,True
combine,1.0,0.1,3,83.22,True
combine,1.0,0.3,3,83.49,True
combine,1.0,0.5,3,83.13,True
combine,1.0,0.7,3,82.15,True
combine,1.0,0.9,3,81.14,True
combine,1.0,1.0,3,80.74,True
only_A,0.1,0.1,3,82.98,True
only_A,0.1,0.3,3,83.58,True
only_A,0.1,0.5,3,83.44,True
only_A,0.1,0.7,3,82.99,True
only_A,0.1,0.9,3,82.22,True
only_A,0.1,1.0,3,81.77,True
only_A,0.3,0.1,3,83.04,True
only_A,0.3,0.3,3,83.67,True
only_A,0.3,0.5,3,83.28,True
only_A,0.3,0.7,3,82.74,True
only_A,0.3,0.9,3,81.88,True
only_A,0.3,1.0,3,81.27,True
only_A,0.5,0.1,3,83.04,True
only_A,0.5,0.3,3,83.80,True
only_A,0.5,0.5,3,83.25,True
only_A,0.5,0.7,3,82.63,True
only_A,0.5,0.9,3,81.75,True
only_A,0.5,1.0,3,80.94,True
only_A,0.7,0.1,3,83.10,True
only_A,0.7,0.3,3,83.69,True
only_A,0.7,0.5,3,83.16,True
only_A,0.7,0.7,3,82.34,True
only_A,0.7,0.9,3,81.30,True
only_A,0.7,1.0,3,80.79,True
only_A,0.9,0.1,3,83.14,True
only_A,0.9,0.3,3,83.65,True
only_A,0.9,0.5,3,83.14,True
only_A,0.9,0.7,3,82.21,True
only_A,0.9,0.9,3,81.25,True
only_A,0.9,1.0,3,80.70,True
only_A,1.0,0.1,3,83.10,True
only_A,1.0,0.3,3,83.72,True
only_A,1.0,0.5,3,83.22,True
only_A,1.0,0.7,3,82.27,True
only_A,1.0,0.9,3,81.34,True
only_A,1.0,1.0,3,80.78,True
only_B,0.1,0.1,3,81.92,True
only_B,0.1,0.3,3,82.74,True
only_B,0.1,0.5,3,83.01,True
only_B,0.1,0.7,3,82.90,True
only_B,0.1,0.9,3,82.44,True
only_B,0.1,1.0,3,82.29,True
only_B,0.3,0.1,3,82.58,True
only_B,0.3,0.3,3,83.37,True
only_B,0.3,0.5,3,83.16,True
only_B,0.3,0.7,3,82.93,True
only_B,0.3,0.9,3,82.28,True
only_B,0.3,1.0,3,81.76,True
only_B,0.5,0.1,3,82.87,True
only_B,0.5,0.3,3,83.50,True
only_B,0.5,0.5,3,83.30,True
only_B,0.5,0.7,3,82.59,True
only_B,0.5,0.9,3,81.82,True
only_B,0.5,1.0,3,81.23,True
only_B,0.7,0.1,3,83.02,True
only_B,0.7,0.3,3,83.63,True
only_B,0.7,0.5,3,83.22,True
only_B,0.7,0.7,3,82.47,True
only_B,0.7,0.9,3,81.51,True
only_B,0.7,1.0,3,81.02,True
