variant,p,alpha,n_seeds,fa,fa_sd,aa,aa_sd,ffm,ffm_sd,old_mean,new_acc,first5_mean
combine,0.10,0.10,3,81.66,0.17,86.19,0.27,4.60,0.20,81.49,83.11,81.76
combine,0.10,0.30,3,82.73,0.37,86.81,0.21,4.04,0.38,82.59,83.93,82.66
combine,0.10,0.50,3,82.87,0.24,87.02,0.18,4.08,0.24,82.69,84.45,82.65
combine,0.10,0.70,3,82.91,0.36,87.08,0.19,4.16,0.30,82.78,84.10,82.48
combine,0.10,0.90,3,82.59,0.13,86.98,0.15,4.50,0.21,82.44,83.90,82.10
combine,0.10,1.00,3,82.44,0.06,86.93,0.21,4.73,0.21,82.34,83.36,81.74
combine,0.30,0.10,3,82.22,0.22,86.45,0.28,4.17,0.43,82.09,83.40,82.36
combine,0.30,0.30,3,83.27,0.13,87.18,0.22,3.82,0.32,83.18,84.07,83.14
combine,0.30,0.50,3,83.12,0.21,87.30,0.21,4.16,0.37,83.03,83.95,82.71
combine,0.30,0.70,3,82.91,0.10,87.22,0.22,4.58,0.28,82.77,84.19,82.26
combine,0.30,0.90,3,82.46,0.09,87.01,0.20,4.87,0.19,82.33,83.70,81.73
combine,0.30,1.00,3,82.31,0.16,86.95,0.23,5.01,0.24,82.15,83.75,81.62
combine,0.50,0.10,3,82.63,0.23,86.63,0.25,3.95,0.54,82.52,83.67,82.75
combine,0.50,0.30,3,83.49,0.17,87.40,0.23,3.72,0.40,83.38,84.43,83.38
combine,0.50,0.50,3,83.22,0.28,87.41,0.23,4.22,0.45,83.07,84.56,82.73
combine,0.50,0.70,3,82.92,0.28,87.28,0.21,4.55,0.54,82.74,84.51,82.19
combine,0.50,0.90,3,82.23,0.21,87.01,0.22,5.18,0.41,82.05,83.90,81.53
combine,0.50,1.00,3,81.94,0.17,86.78,0.19,5.33,0.30,81.77,83.46,81.12
combine,0.70,0.10,3,82.97,0.21,86.79,0.24,3.67,0.48,82.86,83.89,83.04
combine,0.70,0.30,3,83.60,0.19,87.48,0.23,3.71,0.30,83.51,84.39,83.35
combine,0.70,0.50,3,83.25,0.29,87.43,0.24,4.24,0.60,83.11,84.53,82.75
combine,0.70,0.70,3,82.88,0.24,87.30,0.18,4.70,0.44,82.69,84.62,82.07
combine,0.70,0.90,3,81.83,0.15,86.91,0.22,5.60,0.40,81.62,83.72,81.06
combine,0.70,1.00,3,81.78,0.02,86.75,0.19,5.55,0.26,81.61,83.29,81.01
combine,0.90,0.10,3,83.17,0.17,86.93,0.27,3.55,0.48,83.08,84.01,83.22
combine,0.90,0.30,3,83.71,0.23,87.54,0.21,3.66,0.37,83.56,85.07,83.23
combine,0.90,0.50,3,83.17,0.35,87.47,0.17,4.53,0.53,83.00,84.74,82.48
combine,0.90,0.70,3,82.78,0.15,87.27,0.18,4.86,0.40,82.56,84.79,82.12
combine,0.90,0.90,3,81.81,0.10,86.80,0.13,5.61,0.22,81.61,83.62,81.10
combine,0.90,1.00,3,81.34,0.17,86.57,0.22,6.02,0.16,81.08,83.64,80.71
combine,1.00,0.10,3,83.22,0.12,86.97,0.29,3.48,0.37,83.10,84.28,83.23
combine,1.00,0.30,3,83.49,0.16,87.51,0.30,3.96,0.32,83.35,84.74,82.95
combine,1.00,0.50,3,83.13,0.21,87.40,0.25,4.51,0.46,82.97,84.51,82.38
combine,1.00,0.70,3,82.15,0.15,87.02,0.16,5.39,0.33,81.92,84.22,81.27
combine,1.00,0.90,3,81.14,0.03,86.62,0.21,6.22,0.31,80.84,83.78,80.44
combine,1.00,1.00,3,80.74,0.32,86.27,0.26,6.48,0.41,80.45,83.36,79.91
only_A,0.10,0.10,3,82.98,0.26,86.88,0.26,3.54,0.46,82.90,83.66,83.31
only_A,0.10,0.30,3,83.58,0.16,87.51,0.24,3.61,0.35,83.49,84.39,83.31
only_A,0.10,0.50,3,83.44,0.24,87.48,0.22,4.04,0.54,83.34,84.30,82.93
only_A,0.10,0.70,3,82.99,0.22,87.33,0.19,4.55,0.34,82.79,84.74,82.39
only_A,0.10,0.90,3,82.21,0.19,87.03,0.19,5.08,0.35,81.99,84.19,81.59
only_A,0.10,1.00,3,81.77,0.19,86.82,0.25,5.53,0.48,81.56,83.62,81.21
only_A,0.30,0.10,3,83.04,0.09,86.91,0.29,3.57,0.35,82.96,83.73,83.30
only_A,0.30,0.30,3,83.67,0.14,87.51,0.26,3.70,0.46,83.54,84.84,83.25
only_A,0.30,0.50,3,83.28,0.21,87.43,0.22,4.33,0.54,83.15,84.46,82.77
only_A,0.30,0.70,3,82.74,0.12,87.27,0.21,4.94,0.26,82.56,84.34,82.00
only_A,0.30,0.90,3,81.87,0.08,86.80,0.22,5.43,0.31,81.63,84.07,81.31
only_A,0.30,1.00,3,81.27,0.16,86.43,0.22,5.80,0.35,81.01,83.62,80.55
only_A,0.50,0.10,3,83.04,0.06,86.92,0.30,3.52,0.42,82.97,83.68,83.32
only_A,0.50,0.30,3,83.80,0.15,87.53,0.21,3.57,0.39,83.69,84.74,83.39
only_A,0.50,0.50,3,83.25,0.20,87.45,0.20,4.41,0.40,83.10,84.57,82.62
only_A,0.50,0.70,3,82.63,0.28,87.24,0.17,4.91,0.51,82.46,84.16,82.00
only_A,0.50,0.90,3,81.75,0.24,86.72,0.25,5.65,0.37,81.48,84.11,81.06
only_A,0.50,1.00,3,80.94,0.02,86.36,0.20,6.27,0.40,80.66,83.45,80.20
only_A,0.70,0.10,3,83.10,0.11,86.95,0.31,3.49,0.41,83.01,83.95,83.38
only_A,0.70,0.30,3,83.69,0.14,87.53,0.25,3.72,0.38,83.61,84.34,83.32
only_A,0.70,0.50,3,83.16,0.17,87.40,0.21,4.43,0.38,83.04,84.28,82.50
only_A,0.70,0.70,3,82.34,0.15,87.12,0.20,5.26,0.42,82.11,84.38,81.48
only_A,0.70,0.90,3,81.29,0.01,86.62,0.16,6.17,0.39,81.02,83.79,80.44
only_A,0.70,1.00,3,80.80,0.07,86.33,0.25,6.47,0.26,80.50,83.47,79.99
only_A,0.90,0.10,3,83.14,0.16,86.95,0.30,3.51,0.40,83.03,84.10,83.38
only_A,0.90,0.30,3,83.65,0.18,87.56,0.23,3.81,0.44,83.52,84.75,83.16
only_A,0.90,0.50,3,83.14,0.31,87.38,0.16,4.57,0.63,82.99,84.45,82.37
only_A,0.90,0.70,3,82.21,0.17,87.10,0.18,5.40,0.37,81.94,84.65,81.32
only_A,0.90,0.90,3,81.25,0.03,86.54,0.24,6.06,0.32,80.96,83.86,80.39
only_A,0.90,1.00,3,80.70,0.17,86.32,0.10,6.63,0.24,80.36,83.79,79.84
only_A,1.00,0.10,3,83.10,0.10,86.98,0.31,3.53,0.41,83.02,83.84,83.37
only_A,1.00,0.30,3,83.72,0.06,87.54,0.24,3.72,0.32,83.60,84.79,83.21
only_A,1.00,0.50,3,83.22,0.29,87.42,0.19,4.53,0.53,83.08,84.50,82.51
only_A,1.00,0.70,3,82.27,0.06,87.09,0.19,5.36,0.20,81.99,84.81,81.37
only_A,1.00,0.90,3,81.34,0.10,86.60,0.18,5.92,0.29,81.11,83.46,80.59
only_A,1.00,1.00,3,80.78,0.30,86.29,0.21,6.51,0.10,80.47,83.52,79.93
only_B,0.10,0.10,3,81.92,0.13,86.31,0.30,4.25,0.28,81.79,83.11,82.08
only_B,0.10,0.30,3,82.74,0.08,86.88,0.27,4.07,0.35,82.64,83.69,82.65
only_B,0.10,0.50,3,83.01,0.08,87.07,0.30,4.05,0.38,82.84,84.52,82.66
only_B,0.10,0.70,3,82.90,0.16,87.04,0.29,4.37,0.21,82.72,84.52,82.54
only_B,0.10,0.90,3,82.44,0.11,86.91,0.33,4.86,0.19,82.21,84.53,82.05
only_B,0.10,1.00,3,82.29,0.12,86.76,0.32,4.92,0.04,82.05,84.50,81.90
only_B,0.30,0.10,3,82.59,0.14,86.59,0.30,3.87,0.16,82.43,83.95,82.70
only_B,0.30,0.30,3,83.37,0.13,87.25,0.24,3.76,0.33,83.21,84.80,83.16
only_B,0.30,0.50,3,83.16,0.13,87.34,0.28,4.32,0.32,82.98,84.85,82.76
only_B,0.30,0.70,3,82.92,0.14,87.20,0.23,4.56,0.42,82.72,84.78,82.36
only_B,0.30,0.90,3,82.28,0.05,86.98,0.20,5.03,0.16,82.12,83.79,81.72
only_B,0.30,1.00,3,81.76,0.03,86.72,0.23,5.45,0.22,81.56,83.53,81.33
only_B,0.50,0.10,3,82.87,0.08,86.75,0.30,3.69,0.36,82.75,83.95,83.11
only_B,0.50,0.30,3,83.51,0.11,87.40,0.23,3.72,0.39,83.38,84.62,83.17
