corruption,dare,della,knots_ties,max_abs_magmax,model_stock,spectral_ours,task_arithmetic,ties
brightness,88.68,88.97,88.73,87.72,89.42,90.46,89.15,88.35
contrast,84.89,85.13,84.85,82.02,85.91,86.98,85.50,84.70
defocus_blur,86.28,86.50,86.44,85.35,86.94,87.79,86.78,86.03
elastic_transform,78.60,78.76,78.39,77.27,78.87,79.35,78.67,78.14
fog,81.73,82.25,82.32,80.26,82.79,83.83,82.51,81.65
frost,80.11,80.27,80.26,77.92,81.00,82.50,80.59,79.90
gaussian_blur,84.91,85.14,85.06,84.02,85.55,86.07,85.43,84.70
gaussian_noise,64.59,65.93,65.81,61.95,66.40,67.19,65.95,65.36
glass_blur,54.95,55.11,55.13,50.63,55.62,56.43,54.94,54.30
impulse_noise,75.15,76.32,76.19,73.74,76.38,77.78,76.00,75.45
jpeg_compression,72.21,72.50,72.40,68.40,73.09,73.85,72.67,71.97
motion_blur,81.46,81.75,81.69,80.35,82.03,82.67,81.96,81.11
pixelate,73.30,74.54,74.46,73.57,74.70,76.07,74.42,73.72
saturate,84.61,84.90,84.88,83.37,85.42,86.70,85.18,84.40
shot_noise,69.65,70.91,70.69,67.41,71.29,72.56,70.80,70.19
snow,81.58,82.08,81.97,80.30,82.56,83.82,82.27,81.41
spatter,85.60,86.02,85.98,84.29,86.60,87.87,86.31,85.45
speckle_noise,69.77,70.99,70.87,68.20,71.48,72.97,71.02,70.41
zoom_blur,84.54,84.65,84.49,83.46,84.92,85.43,84.79,84.15
