perturbation,dare,della,knots_ties,max_abs_magmax,model_stock,spectral_ours,task_arithmetic,ties
brightness,0.751,0.719,0.745,0.928,0.706,0.639,0.714,0.764
gaussian_noise,5.756,5.608,5.903,6.640,5.558,5.478,5.650,5.938
motion_blur,6.681,7.011,6.831,7.125,6.861,6.673,6.845,7.013
rotate,3.003,2.929,3.092,3.343,2.971,2.808,2.978,3.063
scale,3.327,3.393,3.452,3.851,3.401,3.191,3.450,3.512
shot_noise,7.658,7.222,7.435,8.608,7.158,6.805,7.383,7.686
snow,2.308,2.230,2.206,2.625,2.190,2.055,2.202,2.370
tilt,1.291,1.326,1.347,1.495,1.318,1.246,1.298,1.342
translate,3.916,3.778,3.741,4.595,3.677,3.155,3.815,3.706
zoom_blur,0.528,0.503,0.494,0.611,0.469,0.403,0.474,0.483
